Species	A-0-2	A-0-3	A-0-4	A-0-5	A-3-2	A-3-3	A-3-4	A-3-5	A-4-2	A-4-3	A-4-4	A-4-5	A-5-2	A-5-3	A-5-4	A-5-5	A-6-2	A-6-3	A-6-4	A-6-5	B-0-1	B-0-2	B-0-3	B-0-5	B-3-1	B-3-2	B-3-3	B-3-5	B-4-1	B-4-2	B-4-3	B-4-5	B-5-1	B-5-2	B-5-3	B-5-5	B-6-1	B-6-2	B-6-3	B-6-5
species088	0.006006006	0.009950249	0.006006006	0	0.020329764	0.003003003	0.003003003	0	0.003003003	0	0	0.006006006	0	0.003003003	0.011320755	0.006006006	0.003773585	0.003003003	0	0.003003003	0.006006006	0	0.003003003	0	0.003003003	0.006776588	0.006006006	0	0	0.00754717	0.006776588	0.003003003	0	0.006776588	0.006776588	0.00754717	0.024873931	0.011320755	0.003003003	0.012782594
species089	0.012706186	0.009722222	0.011769759	0.004166667	0	0.002985075	0	0	0.002985075	0	0	0	0	0.002985075	0.014925373	0	0	0.004373964	0	0.011940299	0.015485075	0	0.001388889	0.014096186	0.009406575	0	0	0.009406575	0.005970149	0	0	0.005970149	0.002985075	0.002985075	0.002985075	0	0.005970149	0	0.008955224	0.011940299
species090	0.011414392	0.00248139	0.008188586	0.005707196	0.003802281	0	0	0.004618938	0.007604563	0	0.010730688	0	0.012314798	0.016155623	0.026659842	0.007604563	0.01017725	0.0122235	0.012314798	0	0.00248139	0.006451613	0.009925558	0	0	0	0.002309469	0.003846154	0.015393498	0.0130787	0.002309469	0.010946481	0.009956128	0.003802281	0.008465091	0	0.007867781	0.002309469	0.00611175	0
species091	0	0	0.002949853	0.005899705	0.005848403	0.002898551	0.008746954	0	0.002949853	0.014595357	0.008746954	0.002898551	0.008746954	0.002898551	0.008746954	0.002898551	0.002949853	0.026343465	0.014749263	0.014697961	0	0	0.002949853	0	0.005848403	0.002898551	0.002898551	0.011748108	0.005899705	0.002949853	0.005899705	0.005899705	0.008798256	0.008798256	0.02044376	0.005848403	0.005899705	0.005899705	0	0.023444915
species092	0	0	0	0	0.008441602	0.005803079	0.005277045	0.011080124	0.005277045	0	0.011606159	0	0.023212318	0.011606159	0.002638522	0.008441602	0.005803079	0.008441602	0.017409238	0.016883204	0	0	0	0	0.011080124	0.008441602	0.008441602	0.002638522	0.003164557	0.029541431	0	0.011080124	0.014244681	0.011080124	0.043786113	0	0	0.003164557	0	0.005803079
species093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species094	0.009259259	0	0	0	0.00462963	0	0	0	0.009259259	0.00462963	0.00462963	0	0	0	0	0.00462963	0	0.009259259	0.046296296	0	0.009259259	0	0	0	0.00462963	0	0.009259259	0	0.009259259	0	0.009259259	0	0	0.00462963	0.00462963	0	0	0	0.013888889	0.013888889
species095	0	0	0	0	0.006980803	0.006980803	0.005235602	0.006980803	0.013089005	0.013961606	0.006108202	0.001745201	0.006108202	0.002617801	0.005235602	0.001745201	0.013961606	0.005235602	0.005235602	0.013961606	0	0	0	0	0.008726003	0.003490401	0.009598604	0.010471204	0.013089005	0.013089005	0.013089005	0.009598604	0.009598604	0.006980803	0.006980803	0.003490401	0.006980803	0.006108202	0.006980803	0.012216405
species096	0	0	0	0	0	0	0	0	0	0	0.003861004	0	0	0	0	0	0	0	0.003861004	0	0	0	0	0	0	0.007722008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species097	0.019678991	0.062493697	0.033863877	0.015069096	0.001618123	0	0.003448276	0	0.006815279	0.006896552	0.006896552	0	0.003448276	0	0	0.005066399	0	0	0.001683502	0.003448276	0.053038024	0.018191625	0.02894364	0.015199854	0	0.006896552	0	0	0.003448276	0.001683502	0	0	0	0	0.003448276	0	0.003448276	0.003448276	0	0.006896552
species098	0.007490637	0.003745318	0.003745318	0.003745318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007490637	0.014981273	0.007490637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species099	0	0	0	0	0	0.003921569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007843137
species100	0.016574586	0.007366483	0.022099448	0.003683241	0	0	0	0	0	0	0	0	0	0.001841621	0	0	0	0	0	0.001841621	0.016574586	0.003683241	0.007366483	0.016574586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species101	0.019005848	0.02467157	0.01502193	0.029641813	0	0.013414778	0.002832861	0.002083333	0.005665722	0.004294849	0.002832861	0.002832861	0.010581917	0.002832861	0.002832861	0	0.008498584	0.008498584	0.011915722	0.010581917	0.01875	0.0125	0.008333333	0.016923032	0.009082861	0	0.002832861	0.013377711	0.009832389	0.01891525	0.002832861	0.007749056	0.009832389	0.016247639	0.01266525	0.002083333	0.007749056	0.002832861	0.002832861	0.002832861
species102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003322259	0.003322259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species103	0	0	0	0	0.007281553	0.007281553	0.004854369	0.012135922	0.002427184	0.002427184	0	0	0.002427184	0	0	0	0	0.009708738	0	0	0	0	0	0	0	0.009708738	0	0	0	0	0	0.002427184	0	0	0	0	0	0	0.004854369	0
species104	0.00756525	0.014037742	0.004329004	0.006472492	0	0	0	0.006472492	0	0.008658009	0	0	0	0	0	0	0	0	0	0	0.010791367	0	0	0.006472492	0.006472492	0	0	0	0	0.003236246	0.009708738	0	0	0	0.003236246	0	0	0	0	0
species105	0.003401361	0	0.011907275	0.002717391	0.005434783	0.005434783	0.010204082	0.002717391	0	0.005434783	0	0	0	0.002717391	0	0	0.002717391	0	0	0	0.009873852	0	0	0	0.005434783	0.008152174	0.013586957	0.010869565	0	0.008671029	0.008152174	0.005434783	0	0.002717391	0.010869565	0.00980959	0.002717391	0.008152174	0.002717391	0.005434783
species106	0.024819625	0.006746032	0.010403151	0.003571429	0.031700303	0.035323129	0.054545442	0.045932516	0.031023164	0.058301404	0.031316554	0.055484137	0.028726312	0.056283405	0.033409497	0.071314573	0.04624201	0.056306122	0.045475936	0.033587169	0.023169217	0.007288901	0.019808709	0.014718615	0.042243891	0.022755593	0.017358846	0.042580959	0.02590832	0.014931933	0.017011668	0.014429518	0.053258758	0.037843433	0.05120689	0.038887278	0.030811616	0.036915917	0.037770193	0.019775925
species107	0	0	0	0	0	0.013449079	0.020874821	0.004950495	0.007425743	0.010258604	0.012376238	0	0.00814097	0.021590049	0	0	0.002475248	0.012733851	0.010258604	0.010973831	0	0	0	0	0.002832861	0.004950495	0.002832861	0	0	0.007425743	0.005308109	0.010258604	0.010258604	0.012733851	0.002832861	0.002475248	0.002475248	0.002832861	0	0.007783356
species108	0	0.003003003	0	0.003003003	0	0	0	0	0	0	0	0	0.006006006	0	0	0	0	0	0	0.006006006	0.006006006	0.006006006	0.003003003	0.006006006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species109	0.054232804	0.08994709	0.076719577	0.092592593	0.001322751	0.009259259	0.013227513	0.005291005	0.007936508	0.010582011	0.009259259	0.001322751	0.007936508	0.007936508	0.002645503	0.003968254	0.007936508	0.003968254	0.013227513	0.006613757	0.067460317	0.03042328	0.033068783	0.035714286	0.011904762	0	0.005291005	0.003968254	0.002645503	0.009259259	0.007936508	0	0.005291005	0.002645503	0.002645503	0.002645503	0.001322751	0.010582011	0.003968254	0.005291005
species110	0.162980508	0.128217108	0.117626287	0.103965376	0.009422243	0.013554692	0.017849274	0.007716608	0.013231363	0.01217329	0.006536977	0.005191934	0.007812944	0.010223077	0.00934967	0.012461221	0.004898252	0.005735943	0.004134006	0.007099795	0.151107582	0.050036951	0.065061699	0.091819996	0.003787879	0.007575758	0.003028205	0.007311053	0.00070373	0.000979432	0.007627456	0.005952182	0	0	0.004862237	0.002083333	0.002192982	0	0.00070373	0.006370008
species111	0.107600294	0.062605238	0.091349236	0.075704048	0.002604167	0	0.002304147	0.004908314	0.002304147	0.005598179	0.006912442	0.006150301	0.021016	0	0.002304147	0.010161391	0.002304147	0	0.002604167	0	0.092463615	0.046981161	0.054007028	0.069937586	0.002403846	0	0.002304147	0.002304147	0.011986906	0	0.008063698	0	0.002403846	0	0.004608295	0.002403846	0	0.007558147	0.002949853	0.008709403
species112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007692308	0	0.003846154	0	0	0	0.003846154	0	0
species113	0	0.001179245	0.001179245	0.001964637	0.003537736	0	0.011790136	0.001179245	0.008646254	0.013757089	0.010219354	0.011792453	0.010219354	0.011004745	0.004323127	0.007860863	0.012971698	0.007467009	0.007860863	0.011004745	0.001179245	0.001179245	0	0	0.001179245	0.003537736	0	0	0.005502372	0.004323127	0.001179245	0	0	0.011396282	0.001179245	0.004716981	0.005108518	0.003537736	0.003537736	0.002358491
species114	0	0	0	0.007026539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022527655	0	0.004201681	0.007026539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species115	0	0	0	0	0	0	0.009615385	0.019230769	0.009615385	0	0.006410256	0.006410256	0	0	0	0.025641026	0.003205128	0	0.009615385	0.006410256	0	0	0	0	0.003205128	0.006410256	0	0.006410256	0	0.006410256	0.006410256	0.009615385	0	0	0.003205128	0	0.003205128	0.003205128	0	0
species116	0	0.010204082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003401361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species117	0.020641076	0.009853819	0.010691703	0.004016064	0	0	0.004016064	0	0	0	0	0	0	0	0	0	0	0	0.008032129	0.004016064	0.00848035	0.026173042	0.002232143	0.002232143	0	0	0	0	0.004016064	0	0	0	0	0	0	0	0	0	0.002232143	0
species118	0.007168459	0	0.004608295	0.00308642	0.010781134	0.002304147	0.002304147	0.008974797	0.008192524	0.022633745	0.047732833	0.012592213	0.011520737	0.01539417	0.032343403	0.002304147	0.015925167	0.009998862	0.010781134	0.013085282	0.019258121	0	0	0	0.008476987	0.013085282	0.011809941	0.006419374	0.030039256	0.022591075	0.007699456	0.005390567	0.008476987	0.017736246	0.036709905	0	0.020822666	0.009505794	0.026170564	0.007694715
species119	0.003484321	0.010452962	0	0.006968641	0	0	0	0	0	0	0	0	0	0.003484321	0	0	0	0	0	0	0.003484321	0	0	0	0.006968641	0	0	0.003484321	0	0	0	0	0	0	0	0	0	0	0	0
species120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000795545	0	0	0	0	0	0	0.436754177	0	0	0	0	0.00159109	0	0	0	0	0	0	0	0
species121	0	0.007518797	0	0.007518797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species122	0	0	0	0	0.009966777	0	0	0.003322259	0	0	0	0	0	0	0	0	0.006644518	0.003322259	0.009966777	0.006644518	0	0	0	0	0	0	0.003322259	0	0	0.003322259	0.003322259	0	0	0	0.003322259	0.009966777	0	0.003322259	0.003322259	0
species123	0	0	0	0	0.005376344	0	0	0	0	0	0	0	0	0	0.010752688	0	0	0	0	0	0	0.005376344	0.005376344	0	0	0.005376344	0	0	0	0	0	0	0	0	0.005376344	0	0	0	0	0
species124	0.009389671	0.00312989	0.009389671	0.023474178	0	0	0.001564945	0.001564945	0.001564945	0.001564945	0	0	0.00312989	0	0	0	0	0	0	0.006259781	0.004694836	0.00312989	0.004694836	0.001564945	0.001564945	0	0	0.001564945	0	0.00312989	0.001564945	0	0	0.00312989	0.001564945	0	0.001564945	0	0.001564945	0
species125	0	0	0.009615385	0	0	0	0	0.003205128	0	0	0.003205128	0.009615385	0.003205128	0	0	0	0	0.003205128	0	0.009615385	0	0	0	0	0	0	0	0	0.003205128	0	0	0	0	0	0.006410256	0	0	0	0	0
species126	0.009009009	0.012612613	0.010810811	0	0	0	0	0.001801802	0	0	0	0	0	0	0	0	0	0	0	0	0.005405405	0.005405405	0.001801802	0.010810811	0	0.003603604	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species127	0	0.002283105	0.002283105	0.00913242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002283105	0	0.002283105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species128	0	0	0	0	0	0	0.005154639	0.005154639	0	0	0	0	0.005154639	0	0.010309278	0.005154639	0.005154639	0.005154639	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005154639	0	0	0.005154639	0.010309278	0	0	0	0
species129	0	0	0.010516504	0	0	0	0	0.007722008	0.010780385	0.007722008	0.007722008	0.015444015	0.003322259	0.010538968	0.016611296	0.007216709	0.003861004	0.007458126	0	0	0.010241641	0	0.013289037	0.013289037	0	0.003322259	0.007458126	0.003861004	0.007722008	0.003322259	0	0	0.003861004	0.007458126	0.007722008	0	0.003322259	0	0.006677964	0
species130	0.003831418	0	0.003831418	0.003831418	0	0	0.003703704	0	0.003831418	0	0	0	0.003831418	0	0	0	0	0	0	0	0.030012771	0.014814815	0	0.011111111	0	0	0	0	0.003703704	0	0	0	0	0	0	0	0	0	0	0
species131	0.00876085	0.014210441	0.014796903	0.008399444	0	0.002724796	0.002949853	0.005899705	0.002949853	0.005899705	0	0.002949853	0.002949853	0.002949853	0	0.006622517	0	0.002949853	0.002949853	0.017699115	0.012297165	0.002724796	0	0.009933775	0.002949853	0.01179941	0.005899705	0.01179941	0.005899705	0.002949853	0.002949853	0.008849558	0.01179941	0.002949853	0.005899705	0.005899705	0.005899705	0	0	0
species132	0.012519473	0.019637271	0.013091514	0.005351014	0	0	0.002389486	0	0	0	0.002389486	0	0.001194743	0	0	0.003584229	0	0.001194743	0	0	0.013562234	0.005351014	0.002389486	0.008261881	0	0.001766784	0.001194743	0.002389486	0	0.001194743	0	0	0	0	0	0	0	0	0	0
species133	0.006666667	0.003333333	0	0.003333333	0	0	0.003546099	0.003546099	0.003546099	0	0	0	0	0.006666667	0	0	0	0	0.003546099	0	0	0.01	0.003333333	0	0	0	0	0	0	0	0	0	0.003546099	0	0.003546099	0	0	0	0	0
species134	0	0.003436426	0	0	0	0	0	0	0	0	0.003436426	0	0	0	0	0.003436426	0	0	0.006872852	0	0	0	0	0	0.003436426	0.003436426	0	0.003436426	0	0.010309278	0.003436426	0.003436426	0.006872852	0	0.003436426	0.003436426	0	0	0	0
species135	0.00308642	0	0.00308642	0.00308642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00617284	0.00308642	0.00617284	0.00308642	0	0	0	0.00617284	0	0	0	0	0	0	0	0	0	0	0	0
species136	0	0	0	0	0	0	0	0.002777778	0.002777778	0	0	0	0	0	0	0	0.002777778	0.002777778	0.011111111	0.002777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002777778
species137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006060606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species138	0	0	0	0.005376344	0	0	0	0.005376344	0	0	0	0	0	0	0	0.007692308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species139	0	0	0	0	0.003610108	0.003610108	0.003610108	0	0	0.014440433	0	0	0.003610108	0.010830325	0	0.007220217	0.003610108	0.007220217	0.003610108	0.007220217	0.003610108	0	0	0	0.007220217	0.007220217	0	0.003610108	0.003610108	0.003610108	0.007220217	0	0.007220217	0.003610108	0.010830325	0.007220217	0	0	0	0
species140	0	0.003584229	0	0.003311258	0	0.006622517	0	0	0	0	0	0	0.014063946	0	0	0	0.010479717	0.003311258	0.009933775	0.003311258	0	0.007168459	0.003584229	0.006895488	0.006622517	0	0	0.006895488	0	0	0.003311258	0	0.003311258	0.003311258	0	0	0.003311258	0.003311258	0.013245033	0
species141	0	0.012	0.007782101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003891051	0	0.007891051	0	0	0	0	0	0	0.003891051	0	0	0	0	0	0	0	0	0
species142	0	0	0.002985075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005970149	0.002985075	0	0.002985075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species143	0.003205128	0.003205128	0.006410256	0.003623188	0	0.003205128	0	0.003205128	0	0	0.006410256	0	0.003205128	0	0.003205128	0	0	0	0.006410256	0.006410256	0.003205128	0.006410256	0.006828317	0.010033445	0.003205128	0.003205128	0	0	0.003205128	0	0.003205128	0	0.006410256	0.003205128	0.003205128	0.006410256	0	0	0	0.003205128
species144	0	0	0	0	0.006872852	0	0.003436426	0.006872852	0.030927835	0	0	0.006872852	0.006872852	0	0	0.006872852	0	0.017182131	0	0.003436426	0	0	0	0	0.013745704	0.003436426	0.013745704	0.010309278	0.006872852	0	0.010309278	0.003436426	0.006872852	0.006872852	0.010309278	0	0.006872852	0.006872852	0.003436426	0.017182131
species145	0	0	0	0	0.005263158	0	0	0.015789474	0	0	0	0	0.005263158	0	0	0.005263158	0	0	0	0	0.002631579	0.002631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species146	0	0	0.003484321	0.010452962	0	0	0	0	0	0	0	0.003484321	0	0	0	0	0	0	0	0	0.003484321	0.003484321	0.010452962	0.020905923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species147	0	0.011658435	0	0	0.024167573	0.003921569	0	0.015420401	0.019946298	0.013023634	0.003667269	0.003003003	0.008561153	0.004163427	0.022593486	0.025117737	0.016593267	0	0.003921569	0.005882353	0.012303653	0.016658387	0.002873563	0.005050505	0.036921383	0.020878082	0.020834816	0.07089514	0.012677485	0.016593267	0.011569943	0.006795132	0.016593267	0.011758919	0.02214563	0.011329858	0.006924572	0.016728493	0.012677485	0.018807144
species148	0	0	0	0	0	0	0	0.002890173	0	0	0.003367003	0.003367003	0	0	0	0	0.002890173	0.012991184	0	0.005780347	0	0	0	0	0.00867052	0	0.016358187	0.002890173	0.002890173	0.006734007	0	0	0	0	0	0	0	0.006734007	0.01010101	0
species149	0.009188798	0.005654949	0	0.006665797	0.020945632	0.011309898	0.020217729	0.013169582	0.011875789	0.027851317	0.025306788	0.028241904	0.022662853	0.023043225	0.005654949	0.023043225	0.027851317	0.036136909	0.016964848	0.017530738	0.002849003	0.00311042	0.00155521	0.00155521	0.019651839	0.014986209	0.017530738	0.025730217	0.008765369	0.014986209	0.029916069	0.017107309	0.024218063	0.039889118	0.032983432	0.016541419	0.016541419	0.028784288	0.00933126	0.023490161
species150	0.00488359	0.025710918	0.025234255	0.046554901	0.019545383	0.021555309	0.005160844	0.006257823	0.025890613	0.008802817	0.015937356	0.022701644	0.006369427	0	0.021548312	0.017260399	0.016614048	0.032612539	0.014008985	0.011418667	0.059413862	0.029185842	0.007817862	0.030100306	0.030269718	0.008706348	0.016313606	0.015315719	0.017161157	0.010017621	0.014808534	0.019438502	0.015128061	0.012954179	0.014874833	0.004107981	0.011418667	0.003654339	0.003134796	0.009859465
species151	0.006079027	0.016840549	0.006079027	0.012979545	0.005727686	0.002688172	0.005376344	0	0.002688172	0	0.003039514	0	0	0.002688172	0.002688172	0	0.003039514	0.003861004	0.003472222	0	0.029864021	0.006079027	0.006079027	0.003039514	0	0	0.003861004	0.007722008	0	0	0.003039514	0	0.003861004	0.003039514	0	0	0.003115265	0.003115265	0.003115265	0.002688172
species152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002985075	0.002985075	0.002985075	0	0	0	0	0	0	0	0	0	0.002985075	0	0	0	0	0.005970149	0.014925373	0	0.002985075	0.002985075	0	0
species153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003816794	0	0	0.003816794	0.007633588	0	0	0	0.003816794	0	0	0.003816794	0	0	0	0	0	0	0	0	0	0	0	0
species154	0	0.005906423	0.007574783	0	0.116210874	0.095908837	0.11884032	0.074504728	0.060515091	0.107031219	0.106913836	0.093523429	0.111865275	0.110504011	0.088001703	0.134665665	0.070698344	0.093189896	0.081398904	0.077425229	0.007199522	0	0.003134796	0	0.103800859	0.046035537	0.065042733	0.094244942	0.066084521	0.094229096	0.075214055	0.055207194	0.084617217	0.04607626	0.062580385	0.04775093	0.046993591	0.023725648	0.045282396	0.087022845
species155	0.013940949	0.003861004	0.013130343	0.020587468	0.001769912	0	0	0.008503988	0.001769912	0.009462219	0	0.003948561	0.005309735	0.01221755	0	0.003539823	0.003861004	0.017154527	0.001769912	0.004357298	0.019776862	0	0.003846154	0.010094795	0.001769912	0	0.001769912	0.005616065	0	0.019507805	0.007707158	0.001769912	0.003539823	0.001769912	0.007488384	0.005309735	0.009477069	0.009462219	0	0.003539823
species156	0	0	0	0.003533569	0	0	0	0	0.00304878	0	0	0	0	0.006097561	0	0	0.006097561	0	0	0	0	0	0	0.007067138	0	0	0.00304878	0	0.006097561	0	0.00304878	0.00304878	0	0.00304878	0.006097561	0.006097561	0	0	0	0
species157	0	0	0.011142857	0	0.002150538	0.004301075	0.002150538	0.002150538	0.004301075	0.008602151	0	0	0.002150538	0.006451613	0.010752688	0.006451613	0.004301075	0.004	0.004301075	0.010451613	0.012	0	0.007571429	0.008	0.006451613	0	0.005721966	0.006451613	0.008602151	0.011443932	0	0.004301075	0.002150538	0.006451613	0.006451613	0.004301075	0.002150538	0.006451613	0	0.008602151
species158	0	0	0	0	0.01077494	0.006882922	0.008345827	0.010161611	0.029545957	0.026318659	0.013909737	0.007626515	0.023074826	0.020049066	0.040238971	0.027219773	0.021159167	0.005797101	0.023965365	0.015342329	0	0	0	0	0.019107138	0.012823916	0.009325665	0.003748126	0.018257563	0.014745682	0.010644678	0.019237401	0.014145982	0.025520623	0.034610042	0.003748126	0.005797101	0.015502904	0.009325665	0.017500341
species159	0	0	0	0	0.002631579	0	0.006578947	0.003947368	0.001315789	0.005263158	0.002631579	0	0.005263158	0.003947368	0.003947368	0.006578947	0.005263158	0.003947368	0.005263158	0.003947368	0	0	0	0	0.001315789	0.001315789	0.002631579	0.001315789	0.001315789	0.003947368	0.002631579	0.007894737	0.003947368	0.001315789	0.005263158	0.005263158	0	0.007894737	0.005263158	0
species160	0	0	0	0	0.011600928	0.004640371	0.002320186	0.013921114	0	0	0.011600928	0	0.002320186	0.002320186	0.002320186	0.002320186	0.013921114	0	0.009280742	0.006960557	0	0.002320186	0	0.004640371	0.002320186	0.011600928	0.002320186	0.004640371	0.002320186	0.004640371	0.002320186	0.004640371	0.002320186	0	0.009280742	0.006960557	0.006960557	0.002320186	0.002320186	0.002320186
species161	0.002777778	0.002777778	0.011111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012724014	0.002777778	0.005555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species162	0.198092887	0.143881189	0.150274431	0.144992486	0.027871606	0.013874865	0.02780549	0.025819341	0.016630519	0.023807731	0.014550347	0.013380297	0.016008976	0.019748925	0.026263031	0.012734904	0.004270977	0.053189687	0.003265848	0.016016351	0.163631473	0.071025364	0.047621252	0.088552046	0.030971858	0.012019168	0.027739695	0.024420444	0.018297888	0.013694008	0.023567124	0.016355512	0.007272525	0.017018089	0.031507516	0.035092059	0.018047293	0.011319672	0.017856692	0.008077449
species163	0	0.002915452	0	0	0.00553731	0.009700993	0.015700096	0.01944479	0.01510989	0.004120879	0.008327367	0.00553731	0.020861221	0.023565669	0.022020826	0.012405442	0.008327367	0.011117424	0.015238303	0.004163683	0.011661808	0	0.002915452	0.005830904	0.012405442	0.011117424	0.01802836	0.01944479	0.013821872	0.022149239	0.026441335	0.004163683	0.016611929	0.011117424	0.029439377	0.016611929	0.002747253	0.00553731	0.002747253	0.008284562
species164	0	0	0	0	0.002655588	0.013985278	0.008674979	0.005842118	0.021774768	0.014871644	0.015933528	0.011506963	0.011684236	0.023013926	0.015401708	0.025315845	0.011861509	0.011506963	0.009382317	0.009737741	0	0	0	0	0.015225313	0.006550333	0.006019391	0.009028648	0.010267805	0.010445079	0.010445079	0.012215178	0.005311176	0.019650122	0.015224435	0.005664845	0.007258549	0.017171808	0.012746998	0.022482984
species165	0.013280963	0.004149679	0.005068154	0.005154704	0.00209205	0.006079636	0.011393939	0.00569697	0.004758717	0.0041841	0.024203049	0.012336757	0.011393939	0.01369697	0.024246226	0.010210285	0.007065631	0.021341782	0.006194151	0.004417994	0.033092569	0.012362488	0.013506249	0.013861114	0.010819323	0.004758717	0.003030303	0	0.012911373	0.016368201	0.004758717	0.01747814	0.003030303	0.013122353	0.017090909	0.008727273	0.007132403	0.009433962	0.007214403	0.0041021
species166	0.003367003	0.00203666	0	0.009476983	0.003125	0	0.01217771	0.00203666	0.00610998	0	0.00203666	0.00203666	0.00203666	0.00407332	0.012219959	0.00923498	0.00625	0.00203666	0.01235998	0.00516166	0.005403663	0	0	0	0.00592771	0	0.01032332	0.01407435	0.00905271	0.00796437	0.01141166	0.012943761	0.00610998	0.003891051	0.01127164	0.014032101	0.009818761	0.01032332	0.00407332	0.00719832
species167	0.009090909	0.012121212	0.009090909	0.009090909	0.009090909	0	0	0	0	0	0.006060606	0.003030303	0	0	0	0	0.009090909	0	0.003030303	0.006060606	0.015151515	0.006060606	0.006060606	0.006060606	0.003030303	0	0	0.006060606	0.003030303	0	0	0.012121212	0	0.006060606	0	0	0.003030303	0.003030303	0.003030303	0
species168	0.008583691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species169	0	0.003937008	0	0	0	0	0	0	0.003937008	0.011688946	0	0	0	0	0.003875969	0	0	0.003875969	0	0	0.003937008	0	0	0.007874016	0	0	0	0	0	0.003875969	0	0.007874016	0	0.003875969	0	0	0	0.007751938	0	0
species170	0.061120215	0.097574094	0.062606916	0.057508081	0.00273224	0.008543641	0.011046916	0.005958515	0.016071186	0.007186583	0	0.002227171	0.004959412	0.011616843	0.004454343	0.022271715	0	0	0	0.009689858	0.04559045	0.017581317	0.033334821	0.050662784	0.009389671	0.00273224	0	0.004959412	0	0	0	0.00273224	0	0	0	0	0.00273224	0.004259692	0	0.002227171
species171	0.004830918	0	0.014492754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004830918	0	0	0.004830918	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species172	0	0	0	0	0.002824859	0.002824859	0.005649718	0	0.008474576	0.005649718	0.014124294	0.005649718	0	0.002824859	0.008474576	0.002824859	0.008474576	0	0.016949153	0.005649718	0	0	0	0	0.011299435	0.002824859	0.002824859	0.002824859	0.005649718	0.005649718	0.008474576	0	0.011299435	0.002824859	0.008474576	0.008474576	0	0	0	0.011299435
species173	0	0	0	0	0	0.003663004	0.003663004	0.007326007	0	0.007326007	0.010989011	0.003663004	0.007326007	0	0.007326007	0	0	0	0.010989011	0	0	0	0	0	0.003663004	0.003663004	0	0	0	0	0.007326007	0	0	0	0	0.003663004	0	0.003663004	0	0
species174	0.035947712	0.04248366	0.039215686	0.055555556	0	0	0	0	0	0	0	0	0	0.003267974	0.003267974	0	0	0	0	0	0.032679739	0.029411765	0.016339869	0.039215686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species175	0.016451927	0.013194598	0.006514658	0.003257329	0.006353304	0	0.003095975	0	0	0	0	0	0	0	0.007751938	0.009287926	0	0	0.003745318	0	0.013325248	0.006514658	0.003095975	0	0	0	0	0.003095975	0.003745318	0	0	0.003257329	0	0	0	0	0	0	0.003257329	0
